# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
4.200000,-0.497851,0.000000,0.000000,-0.102884,0.042345,-0.000641,-0.001578,0.000171,-0.702273,-0.000000,0.000000,0.137003,-0.045425,-0.000322,0.001881,-0.000202,0.498176,0.000000,0.000000,0.003335,-0.001874,0.000117,0.000080,-0.000011,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.200000,-0.500836,0.303539,0.037903,0.019292,-0.021062,0.005874,-0.000795,0.000044,0.563296,0.281225,-0.080172,-0.093935,0.073457,-0.024389,0.003828,-0.000230,0.499747,0.005770,-0.000080,-0.009729,0.008210,-0.002813,0.000443,-0.000027,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.200000,0.652129,0.008174,-0.091079,0.006198,0.005433,-0.003624,0.000874,-0.000069,0.070093,-0.348811,0.004775,0.008553,0.004192,-0.001489,0.000185,-0.000009,0.498973,-0.000365,0.001053,-0.000717,0.001085,-0.000659,0.000151,-0.000012,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.200000,-0.303904,-0.261474,0.058258,0.000032,0.008133,-0.004210,0.000813,-0.000058,-0.514395,0.168414,0.065507,-0.009056,0.001565,-0.002286,0.000677,-0.000061,0.497524,0.000365,0.002020,-0.002374,0.001752,-0.000759,0.000164,-0.000013,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000
4.200000,-0.208174,0.252682,0.015047,-0.028272,0.024080,-0.011779,0.002465,-0.000184,0.476267,0.094660,-0.102339,-0.051590,0.089168,-0.042259,0.008355,-0.000595,0.502209,-0.000330,-0.007872,-0.009961,0.019472,-0.009520,0.001876,-0.000132,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.200000,0.416039,-0.039622,-0.057604,-0.050361,0.057242,-0.022431,0.003973,-0.000264,-0.097256,-0.172584,0.038726,-0.109888,0.101606,-0.037045,0.006159,-0.000389,0.495777,0.004707,0.008580,-0.019647,0.014849,-0.005251,0.000878,-0.000056,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.200000,-0.270489,-0.098527,0.057288,-0.029239,0.020650,-0.006720,0.001003,-0.000058,-0.240137,0.160326,0.033250,-0.047971,0.035430,-0.013512,0.002371,-0.000155,0.497403,0.000529,0.003096,-0.005538,0.004540,-0.001747,0.000310,-0.000021,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.200000,-0.026427,0.140072,-0.011350,-0.011790,0.008120,-0.002780,0.000422,-0.000023,0.260936,-0.004323,-0.032629,-0.016316,0.018753,-0.007185,0.001255,-0.000082,0.499802,-0.000140,0.001048,-0.002386,0.001727,-0.000562,0.000089,-0.000006,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.200000,0.168805,-0.070438,-0.019636,0.010016,-0.002019,-0.000202,0.000197,-0.000024,-0.100814,-0.077400,0.027234,-0.003565,0.002684,-0.001739,0.000510,-0.000051,0.501644,-0.000051,-0.002658,-0.002295,0.004013,-0.001737,0.000313,-0.000021,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
4.200000,-0.102090,-0.005679,-0.002955,-0.031633,0.056392,-0.027341,0.005330,-0.000371,-0.030717,0.080054,-0.049793,-0.068337,0.108766,-0.050887,0.009912,-0.000698,0.500391,-0.004078,-0.005230,-0.004640,0.014997,-0.008325,0.001760,-0.000130,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000
